Date,Type,Confirmation Code,Listing,Details,Reference code,Currency,Amount,Paid out
12/28/2024,Reservation,HMBKHYMX9A,Double bed with en suite,,,AUD,198.73,
12/27/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06xHsKAWpCqdznlHmtQebzlx,AUD,,1098.86
12/27/2024,Reservation,HM948FENHZ,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,1098.86,
12/25/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06sxPFXI3zgODID2nnZugy7Y,AUD,,634.92
12/25/2024,Reservation,HM2HHHQDF8,Family Room Sleeps 4,,,AUD,439.21,
12/25/2024,Reservation,HMDPXAW82Z,Double bed with en suite,,,AUD,108.68,
12/25/2024,Reservation,HM8HK3RDRK,Affordable single bed room near everything,,,AUD,87.03,
12/24/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06nLOxKHnPqSZdeCK8vmIN3E,AUD,,930.52
12/24/2024,Reservation,HM4P828WZ4,Triple Ensuite Room,,,AUD,930.52,
12/20/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06tNYPCmHYavpc5BxRv2TSE5,AUD,,3901.24
12/20/2024,Reservation,HMSZMSRDT8,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,3901.24,
12/12/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06xUoV06Yp49sY4Y3e9N4wyR,AUD,,106.88
12/12/2024,Reservation,HMFBEQA98W,Private Double Room in  Potts Point /Share Bthroom,,,AUD,106.88,
12/08/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06nSjScrQAavrdtHkuPCczyt,AUD,,1260.85
12/08/2024,Reservation,HMF2KA829Q,"Luxury 2BR Unit w/ Parking, Lift, AC & Balcony BB",,,AUD,1260.85,
12/07/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06xjsRKFu94ydmFe14jtZia0,AUD,,543.11
12/07/2024,Reservation,HMZ8KYWKWB,Double bed with en suite,,,AUD,543.11,
12/06/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yutb92UOwGaJxInjgwfdhF,AUD,,105.84
12/06/2024,Reservation,HM3WDZHQZJ,Private Double Room in  Potts Point /Share Bthroom,,,AUD,105.84,
12/05/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zmi3LDjEw6wK2zVgBE7rVw,AUD,,530.39
12/05/2024,Reservation,HMSZKNCT8H,Double bed with en suite,,,AUD,530.39,
12/04/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06mFcPJzoSg2sLcuoX1qcKDF,AUD,,784.33
12/04/2024,Reservation,HMZW5A3BQ8,Private Double Room in  Potts Point /Share Bthroom,,,AUD,317.51,
12/04/2024,Reservation,HMJRQMJ83A,Double bed with en suite,,,AUD,360.98,
12/04/2024,Reservation,HMHDHMXXSY,Private Double Room in  Potts Point /Share Bthroom,,,AUD,105.84,
12/03/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06vCye6n6GYNINYrq1LUGNAH,AUD,,214.56
12/03/2024,Resolution Adjustment,HMHDX9253T,Private Double Room in  Potts Point /Share Bthroom,Resolution adjustment for resolution 36285569,,AUD,-50,
12/03/2024,Reservation,HMXZM8HNZE,Triple Ensuite Room,,,AUD,158.72,
12/03/2024,Reservation,HM4HZSE9BW,Private Double Room in  Potts Point /Share Bthroom,,,AUD,105.84,
12/01/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06sZqbHHOF4jGYFZWXUSY7E0,AUD,,495.15
12/01/2024,Reservation,HM2YRBPPQM,Double bed with en suite,,,AUD,220.44,
12/01/2024,Reservation,HMHDX9253T,Private Double Room in  Potts Point /Share Bthroom,,,AUD,274.71,
11/30/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zX1Mf5zEL8iAzsOE3o77d60,AUD,,219.61
11/30/2024,Reservation,HMJYH5D2ZH,Private Double Room in  Potts Point /Share Bthroom,,,AUD,219.61,
11/29/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06y1jiUyOSPDzD470BNVSegb1,AUD,,115.86
11/29/2024,Reservation,HMMQT5HWHW,Affordable single bed room near everything,,,AUD,115.86,
11/27/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yyA8V2MQ5CrB6lkNGYnyC40,AUD,,214.5
11/27/2024,Reservation,HMDDD995SC,Private Double Room in  Potts Point /Share Bthroom,,,AUD,214.5,
